,studio_parent,studio_major,year_founded,child_studio_1,child_studio_2,child_studio_3,child_studio_4,market_share
1,"NBCUniversal
(Comcast)",Universal Pictures,1912,Focus Features,Focus World,Big Idea Entertainment,Amblin Partners (minority)[8],14.90%
2,"NBCUniversal
(Comcast)",Universal Pictures,NA,Hulu Documentary Films (30%),Gramercy Pictures,Bullwinkle Studios,Carnival Films,
3,"NBCUniversal
(Comcast)",Universal Pictures,NA,,Working Title Films,DreamWorks Animation,Chiller Films,
4,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,Illumination,DreamWorks Classics,
5,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,Universal Animation Studios,High Top Releasing,
6,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,,Makeready (JV),
7,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,,NBCU Ent. Japan,
8,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,,OTL Releasing,
9,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,,United International Pictures (JV),
10,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,,Universal 1440 Entertainment,
11,"NBCUniversal
(Comcast)",Universal Pictures,NA,,,,WT2 Productions,
12,"Viacom
(National Amusements)",Paramount Pictures,1912,,BET Films,Bardel Entertainment(30%),Awesomeness Films,6.40%
13,"Viacom
(National Amusements)",Paramount Pictures,NA,,Comedy Central Films,MTV Animation,CMT Films,
14,"Viacom
(National Amusements)",Paramount Pictures,NA,,MTV Films,Nickelodeon Animation Studio,Melange Pictures,
15,"Viacom
(National Amusements)",Paramount Pictures,NA,,Nickelodeon Movies,Paramount Animation,Paramount Digital Entertainment,
16,"Viacom
(National Amusements)",Paramount Pictures,NA,,Paramount Players,Rainbow S.p.A.(30%),United International Pictures (JV),
17,"Viacom
(National Amusements)",Paramount Pictures,NA,,,Rainbow CGI (30%),VH1 Films,
18,"Viacom
(National Amusements)",Paramount Pictures,NA,,,,Viacom 18 Motion Pictures (49%),
19,"Viacom
(National Amusements)",Paramount Pictures,NA,,,,Viacom Digital Studios,
20,"WarnerMedia
(AT&T)",Warner Bros. Pictures,1923,HBO Documentary Films,DC Films,Cartoon Network Studios,Castle Rock Entertainment,16.30%
21,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,New Line Cinema,Hanna-Barbera,Cinemax Films,
22,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,,Wang Film Productions(partial),CNN Films,
23,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,,Warner Animation Group,Flagship Entertainment (49%)[10],
24,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,,Warner Bros. Animation,Ellation Studios,
25,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,,,Fullscreen,
26,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,,,HBO Films,
27,"WarnerMedia
(AT&T)",Warner Bros. Pictures,NA,,,,Hello Sunshine,
