"rank","movie","year_released","american_box_office","international_box_office","total_box_office"
1,"Avatar",2009,760507625,2015837654,2776345279
2,"Titanic",1997,659363944,1548844451,2208208395
3,"Star Wars Ep. VII: The Force Awakens",2015,936662225,1116648995,2053311220
4,"Avengers: Infinity War",2018,678815482,1369982200,2048797682
5,"Jurassic World",2015,652270625,996584239,1648854864
6,"Furious 7",2015,353007020,1165715774,1518722794
7,"The Avengers",2012,623279547,894656350,1517935897
8,"Avengers: Age of Ultron",2015,459005868,944008095,1403013963
9,"Black Panther",2018,700059566,648198658,1348258224
10,"Harry Potter and the Deathly Hallows: Part II",2011,381193157,960500000,1341693157
11,"Star Wars Ep. VIII: The Last Jedi",2017,620181382,696540365,1316721747
12,"Jurassic World: Fallen Kingdom",2018,417719760,888053039,1305772799
13,"Frozen",2013,400738009,871731901,1272469910
14,"Beauty and the Beast",2017,504014165,755185541,1259199706
15,"Incredibles 2",2018,608581744,633950692,1242532436
16,"The Fate of the Furious",2017,225764765,1009081502,1234846267
17,"Iron Man 3",2013,408992272,806400000,1215392272
18,"Minions",2015,336045770,824290403,1160336173
19,"Aquaman",2018,335061807,811832833,1146894640
20,"The Lord of the Rings: The Return of the King",2003,377845905,763557436,1141403341
21,"Captain America: Civil War",2016,408084349,731985064,1140069413
22,"Transformers: Dark of the Moon",2011,352390543,771400000,1123790543
23,"Skyfall",2012,304360277,806166704,1110526981
24,"Transformers: Age of Extinction",2014,245439076,858600000,1104039076
25,"Captain Marvel",2019,400026133,689500000,1089526133
26,"The Dark Knight Rises",2012,448139099,636300000,1084439099
27,"Toy Story 3",2010,415004880,653874642,1068879522
28,"Pirates of the Caribbean: Dead Man’s Chest",2006,423315812,642900000,1066215812
29,"Rogue One: A Star Wars Story",2016,532177324,516925532,1049102856
30,"Pirates of the Caribbean: On Stranger Tides",2011,241063875,804600000,1045663875
31,"Jurassic Park",1993,395708305,643104279,1038812584
32,"Despicable Me 3",2017,264624300,770198073,1034822373
33,"Star Wars Ep. I: The Phantom Menace",1999,474544677,552500000,1027044677
